; BonDriver_FSUSB2N 用 チャンネルファイル (2015/1/2)
;
;       チャンネル情報を変更する場合は、このファイルを編集して
;       プレフィックスが同じ名前のドライバと同ディレクトリに
;       拡張子 .ch.txt としてこのファイルを置くこと。
;
; ※ このファイルを利用する場合は、必ずチャンネルスキャンし直して下さい。
; ※ スペースの順番はブロックごとカット＆ペーストして入れ替えることができます。
;    （CATVの記述の途中にVHFを挿入したり(ミックス)することはできません。）
; ※ 利用しないスペースは丸ごと抹消するかコメントアウトしてください。
;
; スペース名, 物理チャンネル番号or周波数MHz, チャンネル名

  ; VHF

VHF, 1, 1ch
VHF, 2, 2ch
VHF, 3, 3ch
VHF, 4, 4ch
VHF, 5, 5ch
VHF, 6, 6ch
VHF, 7, 7ch
VHF, 8, 8ch
VHF, 9, 9ch
VHF,10,10ch
VHF,11,11ch
VHF,12,12ch

  ; UHF

UHF,13,13ch
UHF,14,14ch
UHF,15,15ch
UHF,16,16ch
UHF,17,17ch
UHF,18,18ch
UHF,19,19ch
UHF,20,20ch
UHF,21,21ch
UHF,22,22ch
UHF,23,23ch
UHF,24,24ch
UHF,25,25ch
UHF,26,26ch
UHF,27,27ch
UHF,28,28ch
UHF,29,29ch
UHF,30,30ch
UHF,31,31ch
UHF,32,32ch
UHF,33,33ch
UHF,34,34ch
UHF,35,35ch
UHF,36,36ch
UHF,37,37ch
UHF,38,38ch
UHF,39,39ch
UHF,40,40ch
UHF,41,41ch
UHF,42,42ch
UHF,43,43ch
UHF,44,44ch
UHF,45,45ch
UHF,46,46ch
UHF,47,47ch
UHF,48,48ch
UHF,49,49ch
UHF,50,50ch
UHF,51,51ch
UHF,52,52ch
UHF,53,53ch
UHF,54,54ch
UHF,55,55ch
UHF,56,56ch
UHF,57,57ch
UHF,58,58ch
UHF,59,59ch
UHF,60,60ch
UHF,61,61ch
UHF,62,62ch

  ; CATV

CATV,113,C13ch
CATV,114,C14ch
CATV,115,C15ch
CATV,116,C16ch
CATV,117,C17ch
CATV,118,C18ch
CATV,119,C19ch
CATV,120,C20ch
CATV,121,C21ch
CATV,122,C22ch
CATV,123,C23ch
CATV,124,C24ch
CATV,125,C25ch
CATV,126,C26ch
CATV,127,C27ch
CATV,128,C28ch
CATV,129,C29ch
CATV,130,C30ch
CATV,131,C31ch
CATV,132,C32ch
CATV,133,C33ch
CATV,134,C34ch
CATV,135,C35ch
CATV,136,C36ch
CATV,137,C37ch
CATV,138,C38ch
CATV,139,C39ch
CATV,140,C40ch
CATV,141,C41ch
CATV,142,C42ch
CATV,143,C43ch
CATV,144,C44ch
CATV,145,C45ch
CATV,146,C46ch
CATV,147,C47ch
CATV,148,C48ch
CATV,149,C49ch
CATV,150,C50ch
CATV,151,C51ch
CATV,152,C52ch
CATV,153,C53ch
CATV,154,C54ch
CATV,155,C55ch
CATV,156,C56ch
CATV,157,C57ch
CATV,158,C58ch
CATV,159,C59ch
CATV,160,C60ch
CATV,161,C61ch
CATV,162,C62ch
CATV,163,C63ch

